latitude,longitude,depth,gap,dmin,rms,place,horizontalError,depthError,magError,magNst,Magnitude,Date,Time,Amplitude,Frequency,Velocity,Seismic_Energy,Seismic_Moment,Risk_Zone,Acceleration
41.83,141.48,105.19,107.0,1.09,0.54,"62km E of Hakodate, Japan",8.1,7.7,0.03,268.0,5.03,2018-11-04,13:08:27,107151930.52,0.01,1145.69,2213094709605.63,4.415704473533121e+16,Medium,67.18122408601944
36.32,141.96,18.75,115.0,1.8,0.79,"119km ESE of Takahagi, Japan",6.6,4.2,0.05,133.0,5.2,2018-11-02,18:19:30,158489319.25,0.01,1393.38,3981071705534.99,7.943282347242789e+16,Medium,55.23926771917663
47.82,146.72,431.95,25.0,2.82,0.82,"202km SW of Vostok, Russia",9.1,5.1,0.07,21.0,5.9,2018-11-02,11:01:15,794328234.72,0.0,3119.38,44668359215096.53,8.912509381337514e+17,Medium,24.67447453259055
33.69,135.14,35.22,57.0,1.05,0.77,"21km WSW of Tanabe, Japan",6.4,6.8,0.06,24.0,5.4,2018-11-02,07:53:55,251188643.15,0.0,1754.16,7943282347242.86,1.584893192461124e+17,Medium,43.87811001483555
43.83,147.15,59.39,139.0,3.3,0.62,"34km E of Shikotan, Russia",13.0,8.7,0.05,125.0,5.03,2018-10-31,19:03:11,107151930.52,0.01,1145.69,2213094709605.63,4.415704473533121e+16,Medium,67.18122408601944
42.31,141.02,124.9,79.0,1.52,0.82,"2km ESE of Muroran, Japan",6.5,6.5,0.06,79.0,4.86,2018-10-30,17:59:26,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
31.72,140.6,108.42,78.0,1.54,0.85,"168km SSE of Hachijo-jima, Japan",8.2,7.3,0.1,28.0,4.94,2018-10-30,13:46:49,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
32.03,140.9,49.66,127.0,1.42,0.52,"156km SE of Hachijo-jima, Japan",10.2,5.0,0.05,120.0,5.11,2018-10-29,15:32:51,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
36.5,141.24,46.56,143.0,1.41,1.46,"52km ESE of Takahagi, Japan",7.7,7.0,0.09,40.0,4.86,2018-10-29,12:25:23,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
31.61,140.25,94.0,26.0,1.54,0.98,"168km SSE of Hachijo-jima, Japan",6.2,1.8,0.06,31.0,5.5,2018-10-29,01:27:44,316227766.02,0.0,1968.19,11220184543019.65,2.238721138568347e+17,Medium,39.1064067142579
36.9,141.65,35.0,146.0,1.18,0.97,"70km ESE of Iwaki, Japan",6.9,2.0,0.12,37.0,5.2,2018-10-28,14:46:29,158489319.25,0.01,1393.38,3981071705534.99,7.943282347242789e+16,Medium,55.23926771917663
37.19,142.33,8.74,152.0,1.4,0.68,"122km ESE of Namie, Japan",5.1,5.9,0.18,9.0,4.86,2018-10-28,13:28:59,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
29.72,130.68,44.5,128.0,3.39,0.66,"116km SSW of Nishinoomote, Japan",8.5,7.9,0.07,68.0,4.94,2018-10-28,06:27:24,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
40.2,142.32,53.57,120.0,1.13,0.72,"69km NNE of Miyako, Japan",6.4,6.0,0.09,13.0,4.8,2018-10-27,11:39:13,63095734.45,0.02,879.16,1000000000000.0,1.9952623149688664e+16,Low,87.54833936466002
36.9,141.29,9.7,94.0,1.04,0.59,"39km ESE of Iwaki, Japan",4.7,3.0,0.09,12.0,4.8,2018-10-27,00:08:02,63095734.45,0.02,879.16,1000000000000.0,1.9952623149688664e+16,Low,87.54833936466002
31.2,130.64,117.01,101.0,1.93,0.55,"4km SSW of Ibusuki, Japan",8.6,8.3,0.13,18.0,4.86,2018-10-26,08:45:35,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
44.62,145.65,10.0,134.0,2.25,0.6,"63km NNW of Otrada, Russia",6.1,1.9,0.05,115.0,5.03,2018-10-26,03:14:36,107151930.52,0.01,1145.69,2213094709605.63,4.415704473533121e+16,Medium,67.18122408601944
44.45,145.57,10.0,54.0,2.16,0.71,"48km NNW of Otrada, Russia",5.6,1.8,0.1,36.0,5.36,2018-10-26,03:06:18,229086765.28,0.0,1675.21,6918309709189.36,1.3803842646028867e+17,Medium,45.946021631052396
44.54,145.4,10.0,60.0,2.06,1.07,"63km NW of Otrada, Russia",7.0,1.8,0.07,18.0,5.6,2018-10-26,03:04:53,398107170.55,0.0,2208.35,15848931924611.11,3.1622776601683795e+17,Medium,34.85362167112218
38.32,141.78,40.0,62.0,0.9,0.86,"43km ESE of Ishinomaki, Japan",6.5,1.9,0.05,38.0,5.7,2018-10-25,18:36:09,501187233.63,0.0,2477.81,22387211385683.47,4.4668359215096166e+17,Medium,31.063323011746263
37.34,142.27,23.37,136.0,1.29,0.77,"113km E of Namie, Japan",6.9,6.2,0.16,12.0,4.86,2018-10-24,20:01:24,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
38.35,141.78,44.25,116.0,0.91,0.75,"42km E of Ishinomaki, Japan",6.6,6.6,0.07,18.0,4.7,2018-10-23,11:06:21,50118723.36,0.02,783.55,707945784384.14,1.4125375446227496e+16,Low,98.23085241063954
37.8,143.85,10.0,153.0,2.42,0.6,"233km ESE of Ishinomaki, Japan",9.8,1.9,0.17,10.0,4.86,2018-10-22,15:21:42,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
37.6,141.38,46.64,103.0,0.54,1.54,"35km ENE of Namie, Japan",7.5,5.7,0.03,284.0,5.28,2018-10-22,10:47:19,190546071.8,0.01,1527.81,5248074602497.71,1.0471285480508986e+17,Medium,50.37881091797208
28.96,143.57,10.0,151.0,2.23,0.55,"247km NNE of Chichi-shima, Japan",4.7,1.9,0.12,21.0,4.94,2018-10-21,22:07:38,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
35.17,140.6,38.05,120.0,2.05,0.96,"21km ESE of Ohara, Japan",6.7,7.7,0.07,56.0,4.94,2018-10-21,11:02:52,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
49.37,156.13,42.62,161.0,3.87,0.58,"145km S of Severo-Kuril'sk, Russia",10.4,4.2,0.05,132.0,5.11,2018-10-20,09:51:20,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
37.0,141.25,19.86,135.0,0.94,0.94,"33km E of Iwaki, Japan",6.5,5.3,0.14,15.0,4.86,2018-10-20,01:51:12,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
42.37,142.92,42.66,99.0,0.4,0.68,"46km E of Shizunai, Japan",3.5,6.7,0.05,108.0,4.94,2018-10-19,17:30:31,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
33.55,141.24,34.35,146.0,1.27,0.74,"143km ENE of Hachijo-jima, Japan",3.1,7.6,0.16,12.0,5.03,2018-10-18,22:19:36,107151930.52,0.01,1145.69,2213094709605.63,4.415704473533121e+16,Medium,67.18122408601944
38.44,142.13,47.47,176.0,1.2,0.9,"72km E of Ishinomaki, Japan",8.8,10.2,0.18,9.0,4.86,2018-10-18,12:52:23,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
32.09,141.88,23.6,126.0,2.02,0.56,"224km ESE of Hachijo-jima, Japan",7.0,4.9,0.09,36.0,4.94,2018-10-18,12:35:55,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
47.02,152.87,57.9,183.0,6.84,0.64,Kuril Islands,14.7,11.9,0.11,26.0,4.94,2018-10-18,07:23:43,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
35.52,140.99,35.02,114.0,0.59,0.69,"27km SSE of Hasaki, Japan",5.9,5.5,0.04,234.0,5.2,2018-10-18,05:18:22,158489319.25,0.01,1393.38,3981071705534.99,7.943282347242789e+16,Medium,55.23926771917663
29.13,141.0,80.18,100.0,2.28,0.51,"256km NNW of Chichi-shima, Japan",8.2,7.1,0.05,121.0,5.45,2018-10-17,13:29:08,281838293.13,0.0,1858.1,9440608762859.26,1.8836490894897942e+17,Medium,41.42360699037582
25.95,128.43,18.41,80.0,0.9,0.88,"70km SE of Haebaru, Japan",7.3,5.5,0.11,27.0,5.11,2018-10-17,02:58:54,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
25.86,128.39,10.0,82.0,0.98,0.62,"74km SE of Haebaru, Japan",3.6,1.9,0.15,13.0,4.86,2018-10-16,15:15:45,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
41.63,134.71,10.0,50.0,3.26,0.73,"156km SSE of Preobrazheniye, Russia",7.0,1.9,0.06,82.0,4.86,2018-10-16,00:12:09,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
38.69,141.8,56.13,130.0,1.14,0.76,"42km S of Ofunato, Japan",8.2,10.1,0.15,13.0,4.86,2018-10-15,23:34:19,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
47.47,152.66,55.69,142.0,6.5,0.83,Kuril Islands,13.9,9.2,0.1,28.0,4.94,2018-10-15,19:29:46,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
49.31,151.35,303.43,111.0,5.51,0.86,"184km ENE of Vostok, Russia",9.0,6.7,0.02,531.0,5.2,2018-10-15,16:45:08,158489319.25,0.01,1393.38,3981071705534.99,7.943282347242789e+16,Medium,55.23926771917663
25.96,128.68,10.0,56.0,0.94,0.58,"91km ESE of Haebaru, Japan",5.5,1.8,0.07,70.0,5.03,2018-10-15,08:05:22,107151930.52,0.01,1145.69,2213094709605.63,4.415704473533121e+16,Medium,67.18122408601944
32.62,130.6,10.0,112.0,0.56,0.69,"6km WSW of Matsubase, Japan",5.2,1.9,0.09,34.0,4.86,2018-10-15,00:12:55,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
26.55,141.69,35.0,150.0,0.7,0.67,"78km SW of Chichi-shima, Japan",11.3,2.0,0.11,23.0,4.86,2018-10-14,21:58:02,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
38.3,141.81,49.3,135.0,0.91,0.49,"46km ESE of Ishinomaki, Japan",6.9,8.0,0.14,16.0,4.94,2018-10-14,00:30:28,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
25.85,128.16,10.0,213.0,0.99,0.82,"57km ESE of Itoman, Japan",7.0,1.9,0.09,40.0,4.94,2018-10-13,23:19:55,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
27.83,127.14,171.69,72.0,1.41,0.97,"160km NNW of Nago, Japan",7.9,7.1,0.06,81.0,4.94,2018-10-13,16:35:01,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
26.31,128.84,18.24,73.0,0.73,0.72,"91km ESE of Nago, Japan",7.5,5.0,0.09,38.0,4.86,2018-10-13,12:29:05,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
39.36,143.48,10.0,157.0,2.34,0.87,"132km E of Yamada, Japan",7.2,1.9,0.15,14.0,4.94,2018-10-13,11:33:45,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
49.31,156.14,10.0,135.0,3.93,0.66,"152km S of Severo-Kuril'sk, Russia",8.6,1.9,0.04,261.0,5.2,2018-10-12,22:22:01,158489319.25,0.01,1393.38,3981071705534.99,7.943282347242789e+16,Medium,55.23926771917663
47.14,146.66,355.35,46.0,2.67,0.68,"232km NNW of Kuril'sk, Russia",8.3,5.5,0.02,854.0,5.36,2018-10-12,21:38:24,229086765.28,0.0,1675.21,6918309709189.36,1.3803842646028867e+17,Medium,45.946021631052396
49.18,156.2,10.0,189.0,4.04,0.9,"166km S of Severo-Kuril'sk, Russia",10.7,2.0,0.09,36.0,5.11,2018-10-12,13:58:37,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
47.86,155.77,33.72,140.0,5.4,0.94,East of the Kuril Islands,8.9,5.8,0.05,103.0,4.86,2018-10-12,12:57:16,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
35.75,140.76,34.51,32.0,0.57,1.48,"7km WNW of Hasaki, Japan",5.3,3.6,0.07,19.0,5.2,2018-10-12,04:15:47,158489319.25,0.01,1393.38,3981071705534.99,7.943282347242789e+16,Medium,55.23926771917663
42.62,141.81,17.94,36.0,1.17,0.77,"17km E of Tomakomai, Japan",4.1,3.1,0.08,17.0,4.6,2018-10-12,00:14:27,39810717.06,0.03,698.34,501187233627.27,1e+16,Low,110.21682918655014
48.37,155.17,48.25,131.0,5.01,1.47,"266km SSW of Severo-Kuril'sk, Russia",14.3,8.2,0.11,23.0,4.86,2018-10-11,22:04:24,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
49.25,156.24,19.02,33.0,3.98,0.76,"159km S of Severo-Kuril'sk, Russia",8.1,2.6,0.08,17.0,5.0,2018-10-11,15:08:10,100000000.0,0.01,1106.8,1995262314968.88,3.981071705534986e+16,Medium,69.54211786057272
27.96,128.05,10.0,81.0,1.14,0.7,"147km WSW of Naze, Japan",2.2,1.9,0.1,32.0,5.03,2018-10-11,06:18:42,107151930.52,0.01,1145.69,2213094709605.63,4.415704473533121e+16,Medium,67.18122408601944
49.2,156.15,10.0,93.0,4.04,0.74,"164km S of Severo-Kuril'sk, Russia",8.5,1.8,0.03,494.0,5.45,2018-10-11,05:47:32,281838293.13,0.0,1858.1,9440608762859.26,1.8836490894897942e+17,Medium,41.42360699037582
49.25,156.19,10.0,135.0,3.98,0.59,"158km S of Severo-Kuril'sk, Russia",10.2,1.9,0.05,116.0,5.11,2018-10-11,03:38:38,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
49.22,156.2,10.0,83.0,4.0,0.64,"161km S of Severo-Kuril'sk, Russia",8.5,1.8,0.03,485.0,5.45,2018-10-11,02:16:16,281838293.13,0.0,1858.1,9440608762859.26,1.8836490894897942e+17,Medium,41.42360699037582
49.34,156.1,10.0,135.0,3.9,0.44,"148km S of Severo-Kuril'sk, Russia",9.8,1.9,0.06,78.0,5.28,2018-10-11,01:30:20,190546071.8,0.01,1527.81,5248074602497.71,1.0471285480508986e+17,Medium,50.37881091797208
49.33,156.21,10.0,73.0,3.9,0.71,"150km S of Severo-Kuril'sk, Russia",8.3,1.8,0.04,228.0,5.62,2018-10-11,00:14:39,416869383.47,0.0,2259.79,16982436524617.46,3.3884415613920346e+17,Medium,34.060256382132636
49.43,156.08,10.0,177.0,3.82,0.5,"138km S of Severo-Kuril'sk, Russia",7.4,1.9,0.1,31.0,5.03,2018-10-11,00:14:18,107151930.52,0.01,1145.69,2213094709605.63,4.415704473533121e+16,Medium,67.18122408601944
49.14,156.19,10.0,112.0,4.09,0.62,"171km S of Severo-Kuril'sk, Russia",10.5,1.9,0.1,34.0,5.11,2018-10-10,23:26:12,128824955.17,0.01,1256.23,2917427014001.17,5.821032177708721e+16,Medium,61.270004567648044
49.2,156.28,10.0,65.0,4.01,0.57,"164km S of Severo-Kuril'sk, Russia",8.0,1.8,0.05,148.0,5.7,2018-10-10,23:21:50,501187233.63,0.0,2477.81,22387211385683.47,4.4668359215096166e+17,Medium,31.063323011746263
49.13,156.3,10.0,195.0,4.17,0.66,"173km S of Severo-Kuril'sk, Russia",7.5,2.0,0.16,13.0,5.45,2018-10-10,23:19:42,281838293.13,0.0,1858.1,9440608762859.26,1.8836490894897942e+17,Medium,41.42360699037582
49.29,156.3,20.0,14.0,3.92,0.64,"154km S of Severo-Kuril'sk, Russia",7.4,1.8,0.05,34.0,6.5,2018-10-10,23:16:02,3162277660.17,0.0,6223.98,354813389233576.06,7.079457843841402e+18,High,12.366531632195649
39.02,142.46,22.81,135.0,1.75,0.91,"56km ESE of Kamaishi, Japan",7.3,5.6,0.06,78.0,4.94,2018-10-09,19:58:38,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
44.25,149.84,10.0,153.0,5.21,1.01,"189km SE of Kuril'sk, Russia",10.4,1.9,0.15,14.0,4.94,2018-10-09,13:25:00,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
49.4,156.22,10.0,169.0,3.83,1.28,"142km S of Severo-Kuril'sk, Russia",11.9,2.0,0.13,18.0,4.94,2018-10-09,08:07:03,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
49.4,156.24,19.0,57.0,3.83,0.89,"142km S of Severo-Kuril'sk, Russia",6.5,1.7,0.06,28.0,6.1,2018-10-09,07:45:11,1258925411.79,0.0,3927.06,89125093813374.4,1.7782794100389225e+18,High,19.59963179822191
41.0,142.23,50.85,128.0,0.91,0.56,"81km ENE of Misawa, Japan",5.5,7.0,0.08,47.0,4.86,2018-10-09,04:16:45,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
27.97,128.22,10.0,49.0,1.13,0.78,"131km WSW of Naze, Japan",2.6,1.9,0.09,36.0,4.94,2018-10-09,03:09:04,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
29.9,141.08,48.3,108.0,2.96,0.52,"Izu Islands, Japan region",10.5,7.7,0.09,36.0,4.86,2018-10-09,02:32:14,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
45.84,150.48,104.74,144.0,5.85,0.92,"213km ENE of Kuril'sk, Russia",11.6,8.4,0.06,90.0,4.86,2018-10-08,23:14:39,72443596.01,0.01,942.04,1230268770812.38,2.4547089156850336e+16,Low,81.70486423970344
37.37,141.52,35.0,129.0,0.77,0.71,"47km ESE of Namie, Japan",6.9,1.9,0.04,175.0,5.03,2018-10-08,19:52:02,107151930.52,0.01,1145.69,2213094709605.63,4.415704473533121e+16,Medium,67.18122408601944
28.47,141.69,37.76,117.0,1.44,0.63,"162km NNW of Chichi-shima, Japan",9.7,8.6,0.11,26.0,4.94,2018-10-08,15:45:15,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
44.57,148.28,50.11,143.0,4.1,0.83,"80km SSE of Kuril'sk, Russia",7.5,5.4,0.24,12.0,4.94,2018-10-08,15:23:28,87096359.0,0.01,1032.92,1621810097358.93,3.2359365692962676e+16,Low,74.51572181471256
23.61,143.82,12.11,114.0,3.77,0.58,"283km ESE of Iwo Jima, Japan",11.3,5.4,0.11,27.0,5.03,2018-10-08,14:44:46,107151930.52,0.01,1145.69,2213094709605.63,4.415704473533121e+16,Medium,67.18122408601944
